2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=0
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65405), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=3
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65406), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65407), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65408), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65409), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65410), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65411), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=13
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65412), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65413), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65414), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65415), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=13
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65416), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65417), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65418), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65419), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65420), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65421), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=13
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65422), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=7
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65423), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65424), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65425), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65426), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65427), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65428), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65429), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=0
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65430), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65431), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65432), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65433), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65434), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=3
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65435), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65436), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
